cell_id,condition_id,capacity_Ah,soh_estimate,resistance_growth,predicted_rul_cycles,rul_lower_cycles,lifetime_interval_width,eligible,grade,gate_failures
T25_C0p5_D100_0,T25_C0p5_D100,1.601993,0.8633711827859633,0.31730180555416165,336.41804345219316,252.40051053474576,175.0771071779991,True,A,NONE
T25_C0p5_D100_1,T25_C0p5_D100,1.770245,0.8812241845137574,0.33511850991525804,320.56122727274874,242.73822608611897,161.74672394773927,True,B,NONE
T25_C0p5_D100_2,T25_C0p5_D100,1.654825,0.8625549285371946,0.3099223068300416,358.4416254235939,279.5743967707501,163.77582719103953,True,A,NONE
T25_C0p5_D100_3,T25_C0p5_D100,1.780645,0.868465397118032,0.30907688351761387,331.35535057923335,256.1479656432516,156.0363592823171,True,A,NONE
T25_C0p5_D50_0,T25_C0p5_D50,1.819072,0.9286873913851443,0.16498041433628674,1649.9358281017826,1508.5262851467164,291.6729385175913,True,A,NONE
T25_C0p5_D50_1,T25_C0p5_D50,1.909827,0.9377696638896021,0.1833234659383891,1646.3826220389114,1461.0597097001373,386.17891122742867,True,A,NONE
T25_C0p5_D50_2,T25_C0p5_D50,1.737167,0.9289129100867195,0.1610146811439057,1618.2059577406317,1446.0524270836895,357.8025670459624,True,A,NONE
T25_C0p5_D50_3,T25_C0p5_D50,2.015329,0.9237469401580747,0.17110974610974594,1456.0580971967465,1299.0938652674517,325.9522029965415,True,A,NONE
T25_C0p5_D80_0,T25_C0p5_D80,1.764831,0.8985503187995236,0.2590251265204653,798.7579839603607,691.0431261109129,223.48116842178501,True,A,NONE
T25_C0p5_D80_1,T25_C0p5_D80,1.58755,0.8835587009563839,0.23404593657135475,750.0855724469786,661.6972027625291,182.31086090727626,True,A,NONE
T25_C0p5_D80_2,T25_C0p5_D80,1.802573,0.894472853041953,0.2523605407511764,675.8234163008276,565.5581583409496,229.77254527123046,True,A,NONE
T25_C0p5_D80_3,T25_C0p5_D80,1.737764,0.8925802282038698,0.2710201930490628,711.3621036463594,605.1303610529094,220.79123243453205,True,A,NONE
T25_C1_D100_0,T25_C1_D100,1.76058,0.8505605690694575,0.36217296377160224,241.5704530395734,171.018777740127,146.5077343181606,True,B,NONE
T25_C1_D100_1,T25_C1_D100,1.573438,0.8592554082388556,0.3486659027664103,342.9023727232275,266.8919017907855,157.70256021703847,True,A,NONE
T25_C1_D100_2,T25_C1_D100,1.777054,0.8539885025019371,0.30764491505069813,299.19570610677306,237.37476759096023,127.51257391838169,True,B,NONE
T25_C1_D100_3,T25_C1_D100,1.809101,0.8590339422921915,0.31609922978053095,268.8026138435415,190.01408242980688,164.18082845009417,True,B,NONE
T25_C1_D50_0,T25_C1_D50,1.883969,0.9242867200282591,0.17240297758447642,1407.9919758372012,1251.1196664185738,326.04219497690497,True,A,NONE
T25_C1_D50_1,T25_C1_D50,1.765329,0.9321807776846357,0.20263849184887595,1633.1917268468,1463.6241803619187,352.1242684025142,True,A,NONE
T25_C1_D50_2,T25_C1_D50,1.877809,0.9248033300246172,0.17834585884378407,1468.5492911438128,1314.2509927637961,320.1300609397417,True,A,NONE
T25_C1_D50_3,T25_C1_D50,1.887388,0.9317678375631109,0.1845701731861109,1496.6236204006705,1364.2475728276845,273.04034775945775,True,A,NONE
T25_C2_D100_0,T25_C2_D100,1.598244,0.8334032075389053,0.30986808343647176,149.2323950780019,79.6907597846207,144.91199530406914,True,B,NONE
T25_C2_D100_1,T25_C2_D100,1.777275,0.8435337503678321,0.3533998640769753,134.8633976193779,70.53944912521672,133.6903972048451,True,B,NONE
T25_C2_D100_2,T25_C2_D100,1.60538,0.8572031942349777,0.38287359942402,246.0218463409533,175.15344795454268,147.16544204346144,True,B,NONE
T25_C2_D100_3,T25_C2_D100,1.720428,0.854503990708091,0.3665065550963207,161.08955440810166,97.72401708235691,131.46751155745278,True,B,NONE
T25_C2_D50_0,T25_C2_D50,1.809274,0.9197395838363853,0.20096216487095964,1214.7270516706542,1098.960975280207,238.78043147472,True,A,NONE
T25_C2_D50_1,T25_C2_D50,1.775971,0.9228488851845001,0.20575065684787042,1300.8591922816377,1142.257141501031,330.49754353594494,True,A,NONE
T25_C2_D50_2,T25_C2_D50,1.91077,0.9102194555079669,0.20497279564730375,1129.0272651324126,992.4339182421706,283.8945560525294,True,A,NONE
T25_C2_D50_3,T25_C2_D50,1.764135,0.9136238389928534,0.21971516653112166,1193.0957894363253,1054.8417069434477,287.098673423372,True,A,NONE
T25_C2_D80_0,T25_C2_D80,1.785448,0.8772363915079275,0.31176901628267695,471.2246168342806,386.28943821574853,176.2190781917268,True,A,NONE
T25_C2_D80_1,T25_C2_D80,1.675252,0.886090263941128,0.2955017684486596,509.71343508192354,435.4883249671309,153.09755994227794,True,A,NONE
T25_C2_D80_2,T25_C2_D80,1.631496,0.8896278085847794,0.27246745583951015,574.3575928308107,471.93913768755306,213.42124941635302,True,A,NONE
