seed,scenario_class,scenario,n_cells,final_soh_mean,final_soh_sd,final_resistance_growth_mean,critical_fraction,ridge_soh_forecast_rmse,screening_rate,eligible_cells,grouping_rate_among_eligible,mean_group_inconsistency_raw,balanced_objective_per_group,group_solver_status
42,operating_condition,baseline,24,0.8532121666666668,0.0067576132662024585,0.3459625713280501,0.0,0.0038817246291550267,1.0,24,0.6666666666666666,0.08184023556901418,0.03795772507169431,Optimization terminated successfully. (HiGHS Status 7: Optimal)
42,operating_condition,high_temperature,24,0.7823642916666667,0.00888153223210559,0.5209209611586477,0.9583333333333334,0.003838844978830207,0.9583333333333334,23,0.6956521739130435,0.0951611155373268,0.03851248649609717,Optimization terminated successfully. (HiGHS Status 7: Optimal)
42,operating_condition,high_c_rate,24,0.839160625,0.006695817654902818,0.3831465334992011,0.0,0.003753308377499758,1.0,24,0.6666666666666666,0.07769490754552566,0.01482130508536127,Optimization terminated successfully. (HiGHS Status 7: Optimal)
42,operating_condition,high_dod,24,0.8074237083333333,0.007924433620555935,0.4724603478433032,0.16666666666666666,0.0043712578597098145,1.0,24,0.6666666666666666,0.07953879543789705,0.155107630595891,Optimization terminated successfully. (HiGHS Status 7: Optimal)
42,operating_condition,combined_stress,24,0.6832833750000001,0.0122820250291924,0.7508734888543825,1.0,0.004701246189141646,0.0,0,0.0,,,NO_FEASIBLE_GROUP_TARGET
42,assumed_batch_proxy,batch_low_degradation_proxy,24,0.8678907916666668,0.006081781269901992,0.31169834792909423,0.0,0.004293094511067597,1.0,24,0.6666666666666666,0.07888104800818832,0.02917393102590885,Optimization terminated successfully. (HiGHS Status 7: Optimal)
42,assumed_batch_proxy,batch_reference_proxy,24,0.8532121666666668,0.0067576132662024585,0.3459625713280501,0.0,0.0038817246291550267,1.0,24,0.6666666666666666,0.08184023556901418,0.03795772507169431,Optimization terminated successfully. (HiGHS Status 7: Optimal)
42,assumed_batch_proxy,batch_high_degradation_proxy,24,0.8370465,0.01486668673298347,0.37678156168675964,0.0,0.004978136224478897,1.0,24,0.6666666666666666,0.14600373612570455,0.045875907326790734,Optimization terminated successfully. (HiGHS Status 7: Optimal)
123,operating_condition,baseline,24,0.8537714583333335,0.005854038499041824,0.3501618027019311,0.0,0.0033634531540437484,1.0,24,0.6666666666666666,0.06398723700130671,0.1203546431206328,Optimization terminated successfully. (HiGHS Status 7: Optimal)
123,operating_condition,high_temperature,24,0.784137625,0.009511725004840514,0.5177191379419114,0.9583333333333334,0.004079322350897393,0.875,21,0.7619047619047619,0.09429401554459824,0.025127359214814744,Optimization terminated successfully. (HiGHS Status 7: Optimal)
123,operating_condition,high_c_rate,24,0.8442568333333335,0.0067532047803658055,0.3814480241674862,0.0,0.0043866311733806,1.0,24,0.6666666666666666,0.07060902492448828,0.04072674752425534,Optimization terminated successfully. (HiGHS Status 7: Optimal)
123,operating_condition,high_dod,24,0.8068429583333333,0.007636090723657667,0.460192264778372,0.20833333333333334,0.0038518410431377485,1.0,24,0.6666666666666666,0.09108301460580165,0.06440603009814903,Optimization terminated successfully. (HiGHS Status 7: Optimal)
123,operating_condition,combined_stress,24,0.682083375,0.012879167654952506,0.7474121826482364,1.0,0.004566577045696948,0.0,0,0.0,,,NO_FEASIBLE_GROUP_TARGET
123,assumed_batch_proxy,batch_low_degradation_proxy,24,0.8683943749999999,0.005268657868411557,0.31548456974271627,0.0,0.0038684477104305986,1.0,24,0.6666666666666666,0.060932576024484514,0.11803885491739267,Optimization terminated successfully. (HiGHS Status 7: Optimal)
123,assumed_batch_proxy,batch_reference_proxy,24,0.8537714583333335,0.005854038499041824,0.3501618027019311,0.0,0.0033634531540437484,1.0,24,0.6666666666666666,0.06398723700130671,0.1203546431206328,Optimization terminated successfully. (HiGHS Status 7: Optimal)
123,assumed_batch_proxy,batch_high_degradation_proxy,24,0.83827725,0.012878999454053096,0.3860018265658325,0.0,0.004023922095738072,1.0,24,0.6666666666666666,0.12694147779811238,0.08126740244050899,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2026,operating_condition,baseline,24,0.8550115000000001,0.005577875088239243,0.35175994496415236,0.0,0.003978465885067683,1.0,24,0.6666666666666666,0.05475107089320919,0.10064216299794596,Optimization terminated successfully. (HiGHS Status 7: Optimal)
