alternative,selected_group,mean_capacity_Ah,min_soh,min_predicted_rul,capacity_cv,soh_range,rul_cv,resistance_range,raw_benefit,raw_inconsistency,raw_risk,raw_cost,benefit_index,inconsistency_index,risk_index,cost_index,group_id,members
performance,1,1.8078487499999998,0.9286873913851443,1618.2059577406317,0.03640820097156866,0.009082272504457811,0.007624439105493176,0.04162381070497023,2726.2109758068164,0.1000087762382011,0.2144008119848876,5.027105798000803,1.0,0.10388505699715242,0.003046051733442371,0.6462148782497821,candidate_00538,T25_C0p5_D50_0;T25_C0p5_D50_1;T25_C0p5_D50_2;T25_C1_D50_1
performance,2,1.9161237500000001,0.9237469401580747,1407.9919758372012,0.029945322813907663,0.008020897405036198,0.021984360564226653,0.013460427076364967,2498.6511759492305,0.07043972498245835,0.2210887611650384,4.74641756571034,0.9123127012232195,0.020763497644506454,0.008372918429639234,0.41645203829316924,candidate_00773,T25_C0p5_D50_3;T25_C1_D50_0;T25_C1_D50_2;T25_C1_D50_3
performance,3,1.73672675,0.885787197114259,760.28483122117,0.01084686149370909,0.012763121685264611,0.019944283215717958,0.02345196681094963,1176.7915569397157,0.06979721328304692,0.3087907901750422,4.461828280781576,0.40295076899446475,0.018957333020031927,0.07822647217804671,0.1834959154344478,candidate_00953,T25_C0p5_D80_0;T45_C0p5_D50_0;T45_C1_D50_1;baseline_1
performance,4,1.798186,0.9030162035642256,1182.5461286292118,0.017178881888777472,0.019832681620274517,0.03805390275191958,0.023057497959910966,1945.2805414089228,0.09892869446519727,0.23999852449794426,4.65719194377785,0.6990783065911262,0.10084883914816027,0.02343430508460629,0.3434146611120362,candidate_02032,T25_C2_D50_0;T25_C2_D50_1;T25_C2_D50_3;T35_C0p5_D50_2
performance,5,1.91210525,0.9097948168842734,1129.0272651324126,0.019443229478344617,0.008062175533341653,0.05950277356887079,0.02695374711793952,1972.712480963625,0.09227271444740284,0.24843946194862876,4.604255080490007,0.7096488585131492,0.08213821386248513,0.03015740470446889,0.30008215675958,candidate_02219,T25_C2_D50_2;T35_C0p5_D50_0;T35_C0p5_D50_3;T35_C1_D50_3
performance,6,1.8451917500000001,0.902692775655687,961.1260383345091,0.012511278803086466,0.01330571393963087,0.061130303441285214,0.0364246711956806,1611.9193280597353,0.10611252959867142,0.2658214731206608,4.565406071436441,0.5706217675458541,0.12104331793823382,0.0440019561403594,0.26828154090614964,candidate_02742,T35_C0p5_D50_1;T35_C1_D50_0;T35_C1_D50_1;T35_C2_D50_1
performance,7,1.7443075000000001,0.8995880796434813,973.0661300426195,0.022270900722995313,0.009891710809459608,0.05346663390248448,0.03815097026005265,1531.9168172015472,0.10693860955320943,0.27696098737457986,4.735089973854765,0.5397938090184478,0.12336551128076884,0.05287443795692636,0.40717961652696927,candidate_02952,T35_C1_D50_2;T35_C2_D50_0;T35_C2_D50_3;T45_C0p5_D50_1
performance,8,1.90005825,0.8819247615842499,779.0675482174099,0.01895688922948156,0.014276868997126324,0.037389186370219575,0.02737108918824882,1317.5314121787967,0.09357630959709282,0.27372120965835517,4.658761920502139,0.457183097129195,0.08580275015989955,0.050293996097281586,0.34469979625252595,candidate_03057,T35_C2_D50_2;T45_C0p5_D50_2;T45_C1_D50_0;T45_C1_D50_2
balanced,1,1.8078487499999998,0.9286873913851443,1618.2059577406317,0.03640820097156866,0.009082272504457811,0.007624439105493176,0.04162381070497023,2726.2109758068164,0.1000087762382011,0.2144008119848876,5.027105798000803,1.0,0.10388505699715242,0.003046051733442371,0.6462148782497821,candidate_00538,T25_C0p5_D50_0;T25_C0p5_D50_1;T25_C0p5_D50_2;T25_C1_D50_1
balanced,2,1.9161237500000001,0.9237469401580747,1407.9919758372012,0.029945322813907663,0.008020897405036198,0.021984360564226653,0.013460427076364967,2498.6511759492305,0.07043972498245835,0.2210887611650384,4.74641756571034,0.9123127012232195,0.020763497644506454,0.008372918429639234,0.41645203829316924,candidate_00773,T25_C0p5_D50_3;T25_C1_D50_0;T25_C1_D50_2;T25_C1_D50_3
balanced,3,1.7940310000000002,0.8962016305813763,798.7579839603607,0.017128806715136117,0.0036812151311254038,0.1026984002863866,0.012938252289368402,1287.627276057261,0.08877868940994862,0.29509785799359256,4.444079547060817,0.445659915440726,0.07231616015442184,0.06732022536816862,0.16896734246208586,candidate_00915,T25_C0p5_D80_0;T35_C2_D50_0;T45_C0p5_D50_1;T45_C0p5_D50_2
balanced,4,1.7299600000000002,0.885787197114259,711.3621036463594,0.006114464084443199,0.006793031089610824,0.037907853125826764,0.024399018446488396,1094.9407064251745,0.06305347127306662,0.32908200843722085,4.312214684817414,0.37141057609266953,0.0,0.0943881701626633,0.06102678153333595,candidate_01251,T25_C0p5_D80_3;T45_C0p5_D50_0;T45_C1_D50_1;baseline_1
balanced,5,1.76559425,0.9094797904529409,1106.1505107367166,0.019587709470008225,0.013369094731559228,0.05754196262708557,0.018753001660162028,1789.7860635222444,0.0938498819068315,0.2611526926652042,4.619210145016567,0.6391604707118461,0.08657178927395524,0.04028333172349954,0.31232391719719244,candidate_02036,T25_C2_D50_0;T25_C2_D50_1;T25_C2_D50_3;T35_C1_D50_2
balanced,6,1.8748167500000001,0.902692775655687,1117.0041693618352,0.012768872886787653,0.014605784430860691,0.06801180351820006,0.00848745612484536,1902.1561253232178,0.08447379963245442,0.24256485696373634,4.443872582668586,0.6824608567592668,0.06021468459297354,0.02547835634384274,0.1687979277127003,candidate_02253,T25_C2_D50_2;T35_C0p5_D50_2;T35_C0p5_D50_3;T35_C1_D50_0
balanced,7,1.8503250000000002,0.905752161056833,961.1260383345091,0.0161877242563825,0.010246328538484839,0.07262218779629663,0.01964132199498758,1619.561183073304,0.09263279722648807,0.2710589804659633,4.524424380487437,0.5735664599924243,0.08315044255507077,0.04817356431160289,0.23473517659357865,candidate_02672,T35_C0p5_D50_0;T35_C0p5_D50_1;T35_C1_D50_1;T35_C2_D50_1
balanced,8,1.91069975,0.8819247615842499,732.417157088908,0.011464244514804295,0.01078815611147721,0.06247897129707249,0.04023277696849603,1244.2812055848399,0.104512819354791,0.3013676241108502,4.538330336253338,0.42895705388656175,0.11654637250587345,0.07231401455874532,0.24611816854522628,candidate_03066,T35_C2_D50_2;T45_C1_D50_0;T45_C1_D50_2;baseline_3
conservative,1,1.8078487499999998,0.9286873913851443,1618.2059577406317,0.03640820097156866,0.009082272504457811,0.007624439105493176,0.04162381070497023,2726.2109758068164,0.1000087762382011,0.2144008119848876,5.027105798000803,1.0,0.10388505699715242,0.003046051733442371,0.6462148782497821,candidate_00538,T25_C0p5_D50_0;T25_C0p5_D50_1;T25_C0p5_D50_2;T25_C1_D50_1
conservative,2,1.9161237500000001,0.9237469401580747,1407.9919758372012,0.029945322813907663,0.008020897405036198,0.021984360564226653,0.013460427076364967,2498.6511759492305,0.07043972498245835,0.2210887611650384,4.74641756571034,0.9123127012232195,0.020763497644506454,0.008372918429639234,0.41645203829316924,candidate_00773,T25_C0p5_D50_3;T25_C1_D50_0;T25_C1_D50_2;T25_C1_D50_3
conservative,3,1.7572660000000002,0.8985503187995236,798.7579839603607,0.01972456793140741,0.002686571161705009,0.08482090946295433,0.014694282299465788,1263.0068963495544,0.08220244728576039,0.31372659933483965,4.494828481742528,0.4361727626449397,0.05382968605975774,0.08215778157108784,0.21050887508029736,candidate_00907,T25_C0p5_D80_0;T35_C2_D50_0;T35_C2_D50_3;T45_C0p5_D50_1
conservative,4,1.7299600000000002,0.885787197114259,711.3621036463594,0.006114464084443199,0.006793031089610824,0.037907853125826764,0.024399018446488396,1094.9407064251745,0.06305347127306662,0.32908200843722085,4.312214684817414,0.37141057609266953,0.0,0.0943881701626633,0.06102678153333595,candidate_01251,T25_C0p5_D80_3;T45_C0p5_D50_0;T45_C1_D50_1;baseline_1
conservative,5,1.76559425,0.9094797904529409,1106.1505107367166,0.019587709470008225,0.013369094731559228,0.05754196262708557,0.018753001660162028,1789.7860635222444,0.0938498819068315,0.2611526926652042,4.619210145016567,0.6391604707118461,0.08657178927395524,0.04028333172349954,0.31232391719719244,candidate_02036,T25_C2_D50_0;T25_C2_D50_1;T25_C2_D50_3;T35_C1_D50_2
conservative,6,1.8748167500000001,0.902692775655687,1117.0041693618352,0.012768872886787653,0.014605784430860691,0.06801180351820006,0.00848745612484536,1902.1561253232178,0.08447379963245442,0.24256485696373634,4.443872582668586,0.6824608567592668,0.06021468459297354,0.02547835634384274,0.1687979277127003,candidate_02253,T25_C2_D50_2;T35_C0p5_D50_2;T35_C0p5_D50_3;T35_C1_D50_0
conservative,7,1.8503250000000002,0.905752161056833,961.1260383345091,0.0161877242563825,0.010246328538484839,0.07262218779629663,0.01964132199498758,1619.561183073304,0.09263279722648807,0.2710589804659633,4.524424380487437,0.5735664599924243,0.08315044255507077,0.04817356431160289,0.23473517659357865,candidate_02672,T35_C0p5_D50_0;T35_C0p5_D50_1;T35_C1_D50_1;T35_C2_D50_1
conservative,8,1.90005825,0.8819247615842499,779.0675482174099,0.01895688922948156,0.014276868997126324,0.037389186370219575,0.02737108918824882,1317.5314121787967,0.09357630959709282,0.27372120965835517,4.658761920502139,0.457183097129195,0.08580275015989955,0.050293996097281586,0.34469979625252595,candidate_03057,T35_C2_D50_2;T45_C0p5_D50_2;T45_C1_D50_0;T45_C1_D50_2
balanced_greedy,1,1.8897482499999998,0.9242867200282591,1407.9919758372012,0.006397677589293996,0.013482943861343077,0.058308250411880626,0.012167195601634484,2473.584910577091,0.07468488611955494,0.2317824847913886,4.323618968407483,0.9026537320103776,0.03269707002621042,0.016890333665479023,0.07036198081811824,candidate_00688,T25_C0p5_D50_1;T25_C1_D50_0;T25_C1_D50_2;T25_C1_D50_3
