seed,held_out_scenario,training_scenarios,strategy,candidate_group_count,training_reject_group_count,robust_candidate_group_count,max_feasible_groups,selected_groups,group_shortfall,thresholds_relaxed,selection_status,selection_worst_training_margin,n_groups,stable_count,reinspect_count,reject_count,stable_rate_target,selected_group_reject_rate,weakest_soh,largest_resistance_range,worst_safety_margin
2026,baseline_use,high_temperature;high_c_rate;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,583,,,4,4,4,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,4,1,2,1,0.125,0.25,0.7885196675718337,0.014223281241203312,-1.0
2026,baseline_use,high_temperature;high_c_rate;high_dod;combined_stress,ROBUST_LOSO,583,583,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
2026,high_temperature,baseline_use;high_c_rate;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,583,,,4,4,4,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,4,0,0,4,0.0,1.0,0.7717700535836509,0.02122122530207049,-1.0
2026,high_temperature,baseline_use;high_c_rate;high_dod;combined_stress,ROBUST_LOSO,583,583,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
2026,high_c_rate,baseline_use;high_temperature;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,583,,,4,4,4,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,4,1,1,2,0.125,0.5,0.7852762327873296,0.01557837964544384,-1.0
2026,high_c_rate,baseline_use;high_temperature;high_dod;combined_stress,ROBUST_LOSO,583,583,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
2026,high_dod,baseline_use;high_temperature;high_c_rate;combined_stress,REFERENCE_INTERVAL_RISK,583,,,4,4,4,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,4,1,1,2,0.125,0.5,0.7769317790476649,0.015143101796584846,-1.0
2026,high_dod,baseline_use;high_temperature;high_c_rate;combined_stress,ROBUST_LOSO,583,583,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
2026,combined_stress,baseline_use;high_temperature;high_c_rate;high_dod,REFERENCE_INTERVAL_RISK,583,,,4,4,4,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,4,0,0,4,0.0,1.0,0.7479979288593683,0.02474832906190283,-1.0
2026,combined_stress,baseline_use;high_temperature;high_c_rate;high_dod,ROBUST_LOSO,583,533,50,2,2,6,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,-0.061400795429938704,2,0,0,2,0.0,1.0,0.7776338888065266,0.032751963091377956,-1.0
4096,baseline_use,high_temperature;high_c_rate;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,874,,,6,6,2,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,6,3,1,2,0.375,0.3333333333333333,0.789741488811172,0.012754981872186821,-1.0
4096,baseline_use,high_temperature;high_c_rate;high_dod;combined_stress,ROBUST_LOSO,874,874,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
4096,high_temperature,baseline_use;high_c_rate;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,874,,,6,6,2,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,6,2,1,3,0.25,0.5,0.775965622941686,0.01902515384984449,-1.0
4096,high_temperature,baseline_use;high_c_rate;high_dod;combined_stress,ROBUST_LOSO,874,874,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
4096,high_c_rate,baseline_use;high_temperature;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,874,,,6,6,2,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,6,3,1,2,0.375,0.3333333333333333,0.7870738976309051,0.013969152772573379,-1.0
4096,high_c_rate,baseline_use;high_temperature;high_dod;combined_stress,ROBUST_LOSO,874,874,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
4096,high_dod,baseline_use;high_temperature;high_c_rate;combined_stress,REFERENCE_INTERVAL_RISK,874,,,6,6,2,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,6,2,1,3,0.25,0.5,0.7778679410641299,0.012960258279814063,-1.0
4096,high_dod,baseline_use;high_temperature;high_c_rate;combined_stress,ROBUST_LOSO,874,874,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
4096,combined_stress,baseline_use;high_temperature;high_c_rate;high_dod,REFERENCE_INTERVAL_RISK,874,,,6,6,2,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,6,0,0,6,0.0,1.0,0.7525858163983162,0.021171885773771715,-1.0
4096,combined_stress,baseline_use;high_temperature;high_c_rate;high_dod,ROBUST_LOSO,874,464,410,3,3,5,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,0.030992084983399337,3,0,0,3,0.0,1.0,0.7831570696712209,0.02413194806543184,-1.0
8110,baseline_use,high_temperature;high_c_rate;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,1045,,,7,7,1,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,7,1,3,3,0.125,0.42857142857142855,0.7828384425707189,0.017235095864712058,-1.0
8110,baseline_use,high_temperature;high_c_rate;high_dod;combined_stress,ROBUST_LOSO,1045,1044,1,1,1,7,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,-0.5660900590379363,1,0,1,0,0.0,0.0,0.8325333477475223,0.017187446679198137,-0.553607223445604
8110,high_temperature,baseline_use;high_c_rate;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,1045,,,7,7,1,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,7,0,0,7,0.0,1.0,0.7686102980345494,0.02571209744759617,-1.0
8110,high_temperature,baseline_use;high_c_rate;high_dod;combined_stress,ROBUST_LOSO,1045,1044,1,1,1,7,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,-0.5660900590379363,1,0,1,0,0.0,0.0,0.8204821526133755,0.025644144927098766,-0.5467868660247894
8110,high_c_rate,baseline_use;high_temperature;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,1045,,,7,7,1,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,7,1,3,3,0.125,0.42857142857142855,0.7800832710819836,0.018876602458334002,-1.0
8110,high_c_rate,baseline_use;high_temperature;high_dod;combined_stress,ROBUST_LOSO,1045,1044,1,1,1,7,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,-0.5660900590379363,1,0,1,0,0.0,0.0,0.8301997258789517,0.018825021687114418,-0.5522036734801095
8110,high_dod,baseline_use;high_temperature;high_c_rate;combined_stress,REFERENCE_INTERVAL_RISK,1045,,,7,7,1,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,7,0,2,5,0.0,0.7142857142857143,0.770575071607139,0.019338316221139795,-1.0
8110,high_dod,baseline_use;high_temperature;high_c_rate;combined_stress,ROBUST_LOSO,1045,1044,1,1,1,7,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,-0.5657307100695785,1,0,1,0,0.0,0.0,0.8221463098516929,0.019186814250346185,-0.5660900590379365
8110,combined_stress,baseline_use;high_temperature;high_c_rate;high_dod,REFERENCE_INTERVAL_RISK,1045,,,7,7,1,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,7,0,0,7,0.0,1.0,0.7444629036073446,0.03159739608067946,-1.0
8110,combined_stress,baseline_use;high_temperature;high_c_rate;high_dod,ROBUST_LOSO,1045,983,62,2,2,6,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,0.010228718482670374,2,0,0,2,0.0,1.0,0.7780449680705053,0.02503526775002296,-1.0
17001,baseline_use,high_temperature;high_c_rate;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,558,,,4,4,4,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,4,2,2,0,0.25,0.0,0.8008902213370553,0.01471287811358124,-0.1449391716921784
17001,baseline_use,high_temperature;high_c_rate;high_dod;combined_stress,ROBUST_LOSO,558,558,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
17001,high_temperature,baseline_use;high_c_rate;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,558,,,4,4,4,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,4,0,0,4,0.0,1.0,0.7852855910874146,0.021951216985904853,-1.0
17001,high_temperature,baseline_use;high_c_rate;high_dod;combined_stress,ROBUST_LOSO,558,558,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
17001,high_c_rate,baseline_use;high_temperature;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,558,,,4,4,4,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,4,1,0,3,0.125,0.75,0.7982553195704989,0.016114527136483536,-1.0
17001,high_c_rate,baseline_use;high_temperature;high_dod;combined_stress,ROBUST_LOSO,558,558,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
17001,high_dod,baseline_use;high_temperature;high_c_rate;combined_stress,REFERENCE_INTERVAL_RISK,558,,,4,4,4,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,4,0,0,4,0.0,1.0,0.7891621753885592,0.01568419943046151,-1.0
17001,high_dod,baseline_use;high_temperature;high_c_rate;combined_stress,ROBUST_LOSO,558,558,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
17001,combined_stress,baseline_use;high_temperature;high_c_rate;high_dod,REFERENCE_INTERVAL_RISK,558,,,4,4,4,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,4,0,0,4,0.0,1.0,0.7601826569670389,0.02562927666269199,-1.0
17001,combined_stress,baseline_use;high_temperature;high_c_rate;high_dod,ROBUST_LOSO,558,543,15,1,1,7,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,-0.051903779352134194,1,0,0,1,0.0,1.0,0.7780419591254155,0.02763211289798262,-1.0
17002,baseline_use,high_temperature;high_c_rate;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,783,,,5,5,3,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,5,1,0,4,0.125,0.8,0.795643643684856,0.016734445357339034,-1.0
17002,baseline_use,high_temperature;high_c_rate;high_dod;combined_stress,ROBUST_LOSO,783,783,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
17002,high_temperature,baseline_use;high_c_rate;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,783,,,5,5,3,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,5,0,0,5,0.0,1.0,0.7816780429310676,0.024969157558355715,-1.0
17002,high_temperature,baseline_use;high_c_rate;high_dod;combined_stress,ROBUST_LOSO,783,783,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
17002,high_c_rate,baseline_use;high_temperature;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,783,,,5,5,3,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,5,1,0,4,0.125,0.8,0.7929393117937873,0.018329034463213656,-1.0
17002,high_c_rate,baseline_use;high_temperature;high_dod;combined_stress,ROBUST_LOSO,783,783,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
17002,high_dod,baseline_use;high_temperature;high_c_rate;combined_stress,REFERENCE_INTERVAL_RISK,783,,,5,5,3,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,5,0,0,5,0.0,1.0,0.7836065616649495,0.01867485875672381,-1.0
17002,high_dod,baseline_use;high_temperature;high_c_rate;combined_stress,ROBUST_LOSO,783,783,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
17002,combined_stress,baseline_use;high_temperature;high_c_rate;high_dod,REFERENCE_INTERVAL_RISK,783,,,5,5,3,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,5,0,0,5,0.0,1.0,0.757976226509586,0.030518452709813237,-1.0
17002,combined_stress,baseline_use;high_temperature;high_c_rate;high_dod,ROBUST_LOSO,783,769,14,1,1,7,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,0.030838885262816973,1,0,0,1,0.0,1.0,0.7833223683518883,0.02826361007779221,-1.0
17003,baseline_use,high_temperature;high_c_rate;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,1123,,,8,8,0,False,ACCEPT_FIXED_GROUPS,,8,2,5,1,0.25,0.125,0.7928469844360075,0.0156274222277486,-1.0
17003,baseline_use,high_temperature;high_c_rate;high_dod;combined_stress,ROBUST_LOSO,1123,1123,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
17003,high_temperature,baseline_use;high_c_rate;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,1123,,,8,8,0,False,ACCEPT_FIXED_GROUPS,,8,0,2,6,0.0,0.75,0.7786902615306108,0.023313095588709976,-1.0
17003,high_temperature,baseline_use;high_c_rate;high_dod;combined_stress,ROBUST_LOSO,1123,1123,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
17003,high_c_rate,baseline_use;high_temperature;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,1123,,,8,8,0,False,ACCEPT_FIXED_GROUPS,,8,2,4,2,0.25,0.25,0.7901056432004219,0.01711569415681291,-1.0
17003,high_c_rate,baseline_use;high_temperature;high_dod;combined_stress,ROBUST_LOSO,1123,1123,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
17003,high_dod,baseline_use;high_temperature;high_c_rate;combined_stress,REFERENCE_INTERVAL_RISK,1123,,,8,8,0,False,ACCEPT_FIXED_GROUPS,,8,0,3,5,0.0,0.625,0.7806451724445596,0.017209981748270486,-1.0
