regime,risk_set_cells,eligible_cells,requested_groups,max_feasible_groups,selected_groups,group_shortfall,decision_status,abstention_reasons,thresholds_relaxed,selected_cell_jaccard_vs_none,selected_cell_ids
none,92,41,8,10,8,0,ACCEPT_FIXED_GROUPS,NONE,False,1.0,T25_C0p5_D100_0;T25_C0p5_D100_1;T25_C0p5_D100_3;T25_C1_D100_0;T25_C1_D100_2;T25_C1_D100_3;T25_C2_D100_1;T25_C2_D100_3;T25_C2_D80_0;T25_C2_D80_2;T25_C2_D80_3;T35_C0p5_D100_1;T35_C0p5_D100_3;T35_C0p5_D80_0;T35_C0p5_D80_1;T35_C0p5_D80_3;T35_C1_D80_0;T35_C1_D80_2;T35_C1_D80_3;T35_C2_D80_1;T35_C2_D80_2;T35_C2_D80_3;T45_C0p5_D80_0;T45_C0p5_D80_1;T45_C0p5_D80_2;T45_C0p5_D80_3;T45_C1_D50_0;T45_C1_D50_3;T45_C1_D80_2;T45_C2_D50_0;T45_C2_D50_2;baseline_0
light,92,39,8,9,8,0,ACCEPT_FIXED_GROUPS,NONE,False,0.8285714285714286,T25_C0p5_D100_0;T25_C0p5_D100_1;T25_C0p5_D100_2;T25_C0p5_D100_3;T25_C1_D100_0;T25_C1_D100_1;T25_C1_D100_2;T25_C1_D100_3;T25_C2_D100_1;T25_C2_D100_3;T25_C2_D80_0;T25_C2_D80_3;T35_C0p5_D100_1;T35_C0p5_D100_3;T35_C0p5_D80_0;T35_C0p5_D80_1;T35_C0p5_D80_3;T35_C1_D80_0;T35_C1_D80_1;T35_C1_D80_2;T35_C1_D80_3;T35_C2_D80_1;T35_C2_D80_2;T35_C2_D80_3;T45_C0p5_D80_0;T45_C0p5_D80_1;T45_C0p5_D80_2;T45_C0p5_D80_3;T45_C1_D50_0;T45_C1_D80_2;T45_C2_D50_0;T45_C2_D50_2
heavy,92,40,8,10,8,0,ACCEPT_FIXED_GROUPS,NONE,False,0.7777777777777778,T25_C0p5_D100_0;T25_C0p5_D100_1;T25_C0p5_D100_3;T25_C1_D100_0;T25_C1_D100_2;T25_C1_D100_3;T25_C2_D100_0;T25_C2_D100_1;T25_C2_D100_3;T25_C2_D80_0;T25_C2_D80_2;T35_C0p5_D100_1;T35_C0p5_D100_3;T35_C0p5_D80_0;T35_C0p5_D80_1;T35_C0p5_D80_3;T35_C1_D100_2;T35_C1_D80_0;T35_C1_D80_2;T35_C1_D80_3;T35_C2_D80_0;T35_C2_D80_1;T35_C2_D80_2;T35_C2_D80_3;T45_C0p5_D80_0;T45_C0p5_D80_1;T45_C0p5_D80_2;T45_C0p5_D80_3;T45_C1_D80_1;T45_C1_D80_2;T45_C2_D50_0;T45_C2_D50_2
