scenario,group_number,group_signature,capacity_cv,soh_range,rul_cv,rul_consistency_status,right_censored_cell_count,resistance_range,weakest_soh,weakest_observed_or_censor_rul,post_750_event_count,rul_interpretation,trigger,mean_soh_change,mean_resistance_growth_increment,group_rul_change_status,mean_rul_change_cycles
high_temperature,3,"T25_C0p5_D100_0,T35_C0p5_D80_1,T35_C0p5_D80_3,T35_C1_D80_0|T25_C0p5_D100_1,T25_C2_D80_0,T35_C1_D80_2,T45_C2_D50_2|T25_C0p5_D100_3,T25_C1_D100_2,T25_C1_D100_3,T45_C0p5_D80_3|T25_C1_D100_0,T25_C2_D100_1,T35_C2_D80_3,T45_C0p5_D80_0|T25_C2_D100_3,T35_C2_D80_1,T35_C2_D80_2,T45_C0p5_D80_1|T25_C2_D80_2,T45_C1_D50_0,T45_C1_D50_3,baseline_0|T25_C2_D80_3,T35_C0p5_D80_0,T35_C1_D80_3,T45_C2_D50_0|T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2,T45_C1_D80_2",0.007820988406382434,0.018921185284865416,,RIGHT_CENSORED_NOT_IDENTIFIABLE,2,0.024045197035801325,0.789418702471496,198.0,2,observed event duration or 250-cycle right-censor lower bound,REJECT_FORCED_ASSIGNMENT,-0.047559642153064546,0.08335752576400673,CENSORING_MIXED_NOT_IDENTIFIABLE,
high_temperature,4,"T25_C0p5_D100_0,T35_C0p5_D80_1,T35_C0p5_D80_3,T35_C1_D80_0|T25_C0p5_D100_1,T25_C2_D80_0,T35_C1_D80_2,T45_C2_D50_2|T25_C0p5_D100_3,T25_C1_D100_2,T25_C1_D100_3,T45_C0p5_D80_3|T25_C1_D100_0,T25_C2_D100_1,T35_C2_D80_3,T45_C0p5_D80_0|T25_C2_D100_3,T35_C2_D80_1,T35_C2_D80_2,T45_C0p5_D80_1|T25_C2_D80_2,T45_C1_D50_0,T45_C1_D50_3,baseline_0|T25_C2_D80_3,T35_C0p5_D80_0,T35_C1_D80_3,T45_C2_D50_0|T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2,T45_C1_D80_2",0.008736634722578643,0.013809130561793337,0.13396382321851502,OBSERVED_EVENTS,0,0.02307080790193372,0.7807424025430185,153.0,4,observed event duration or 250-cycle right-censor lower bound,REJECT_FORCED_ASSIGNMENT,-0.046603304734077644,0.07966754439187501,UPPER_BOUND,
high_temperature,5,"T25_C0p5_D100_0,T35_C0p5_D80_1,T35_C0p5_D80_3,T35_C1_D80_0|T25_C0p5_D100_1,T25_C2_D80_0,T35_C1_D80_2,T45_C2_D50_2|T25_C0p5_D100_3,T25_C1_D100_2,T25_C1_D100_3,T45_C0p5_D80_3|T25_C1_D100_0,T25_C2_D100_1,T35_C2_D80_3,T45_C0p5_D80_0|T25_C2_D100_3,T35_C2_D80_1,T35_C2_D80_2,T45_C0p5_D80_1|T25_C2_D80_2,T45_C1_D50_0,T45_C1_D50_3,baseline_0|T25_C2_D80_3,T35_C0p5_D80_0,T35_C1_D80_3,T45_C2_D50_0|T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2,T45_C1_D80_2",0.01774090625772495,0.014263025606198299,,RIGHT_CENSORED_NOT_IDENTIFIABLE,2,0.02027539673214518,0.7945798011016424,221.0,2,observed event duration or 250-cycle right-censor lower bound,REJECT_FORCED_ASSIGNMENT,-0.04169369254553473,0.07679707319813361,CENSORING_MIXED_NOT_IDENTIFIABLE,
high_temperature,6,"T25_C0p5_D100_0,T35_C0p5_D80_1,T35_C0p5_D80_3,T35_C1_D80_0|T25_C0p5_D100_1,T25_C2_D80_0,T35_C1_D80_2,T45_C2_D50_2|T25_C0p5_D100_3,T25_C1_D100_2,T25_C1_D100_3,T45_C0p5_D80_3|T25_C1_D100_0,T25_C2_D100_1,T35_C2_D80_3,T45_C0p5_D80_0|T25_C2_D100_3,T35_C2_D80_1,T35_C2_D80_2,T45_C0p5_D80_1|T25_C2_D80_2,T45_C1_D50_0,T45_C1_D50_3,baseline_0|T25_C2_D80_3,T35_C0p5_D80_0,T35_C1_D80_3,T45_C2_D50_0|T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2,T45_C1_D80_2",0.06499291810567866,0.015388617329364807,,RIGHT_CENSORED_NOT_IDENTIFIABLE,4,0.015347281885391917,0.8287568866924921,250.0,0,observed event duration or 250-cycle right-censor lower bound,REINSPECT,-0.03801374993056206,0.06972181163527547,NOT_IDENTIFIABLE_BOTH_RIGHT_CENSORED,
high_temperature,7,"T25_C0p5_D100_0,T35_C0p5_D80_1,T35_C0p5_D80_3,T35_C1_D80_0|T25_C0p5_D100_1,T25_C2_D80_0,T35_C1_D80_2,T45_C2_D50_2|T25_C0p5_D100_3,T25_C1_D100_2,T25_C1_D100_3,T45_C0p5_D80_3|T25_C1_D100_0,T25_C2_D100_1,T35_C2_D80_3,T45_C0p5_D80_0|T25_C2_D100_3,T35_C2_D80_1,T35_C2_D80_2,T45_C0p5_D80_1|T25_C2_D80_2,T45_C1_D50_0,T45_C1_D50_3,baseline_0|T25_C2_D80_3,T35_C0p5_D80_0,T35_C1_D80_3,T45_C2_D50_0|T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2,T45_C1_D80_2",0.02000300415932074,0.005262452568339904,,RIGHT_CENSORED_NOT_IDENTIFIABLE,4,0.016192894622318654,0.8266732153207721,250.0,0,observed event duration or 250-cycle right-censor lower bound,STABLE_UNDER_SCENARIO,-0.037929162814141715,0.06995429621587379,NOT_IDENTIFIABLE_BOTH_RIGHT_CENSORED,
high_temperature,8,"T25_C0p5_D100_0,T35_C0p5_D80_1,T35_C0p5_D80_3,T35_C1_D80_0|T25_C0p5_D100_1,T25_C2_D80_0,T35_C1_D80_2,T45_C2_D50_2|T25_C0p5_D100_3,T25_C1_D100_2,T25_C1_D100_3,T45_C0p5_D80_3|T25_C1_D100_0,T25_C2_D100_1,T35_C2_D80_3,T45_C0p5_D80_0|T25_C2_D100_3,T35_C2_D80_1,T35_C2_D80_2,T45_C0p5_D80_1|T25_C2_D80_2,T45_C1_D50_0,T45_C1_D50_3,baseline_0|T25_C2_D80_3,T35_C0p5_D80_0,T35_C1_D80_3,T45_C2_D50_0|T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2,T45_C1_D80_2",0.019283228843398822,0.016476288788597526,0.1829091892100882,OBSERVED_EVENTS,0,0.01837392119806691,0.7813700933127348,151.0,4,observed event duration or 250-cycle right-censor lower bound,REJECT_FORCED_ASSIGNMENT,-0.0436720774711942,0.08045742817976986,UPPER_BOUND,
high_c_rate,1,"T25_C0p5_D100_0,T35_C0p5_D80_1,T35_C0p5_D80_3,T35_C1_D80_0|T25_C0p5_D100_1,T25_C2_D80_0,T35_C1_D80_2,T45_C2_D50_2|T25_C0p5_D100_3,T25_C1_D100_2,T25_C1_D100_3,T45_C0p5_D80_3|T25_C1_D100_0,T25_C2_D100_1,T35_C2_D80_3,T45_C0p5_D80_0|T25_C2_D100_3,T35_C2_D80_1,T35_C2_D80_2,T45_C0p5_D80_1|T25_C2_D80_2,T45_C1_D50_0,T45_C1_D50_3,baseline_0|T25_C2_D80_3,T35_C0p5_D80_0,T35_C1_D80_3,T45_C2_D50_0|T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2,T45_C1_D80_2",0.025079701714461014,0.008442105487336926,,RIGHT_CENSORED_NOT_IDENTIFIABLE,4,0.014099868887752498,0.8122039005268407,250.0,0,observed event duration or 250-cycle right-censor lower bound,STABLE_UNDER_SCENARIO,-0.033370799306367604,0.05853749637153488,NOT_IDENTIFIABLE_BOTH_RIGHT_CENSORED,
high_c_rate,2,"T25_C0p5_D100_0,T35_C0p5_D80_1,T35_C0p5_D80_3,T35_C1_D80_0|T25_C0p5_D100_1,T25_C2_D80_0,T35_C1_D80_2,T45_C2_D50_2|T25_C0p5_D100_3,T25_C1_D100_2,T25_C1_D100_3,T45_C0p5_D80_3|T25_C1_D100_0,T25_C2_D100_1,T35_C2_D80_3,T45_C0p5_D80_0|T25_C2_D100_3,T35_C2_D80_1,T35_C2_D80_2,T45_C0p5_D80_1|T25_C2_D80_2,T45_C1_D50_0,T45_C1_D50_3,baseline_0|T25_C2_D80_3,T35_C0p5_D80_0,T35_C1_D80_3,T45_C2_D50_0|T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2,T45_C1_D80_2",0.020368879508510795,0.009530002898043732,,RIGHT_CENSORED_NOT_IDENTIFIABLE,4,0.020795208468456172,0.8327499096544632,250.0,0,observed event duration or 250-cycle right-censor lower bound,STABLE_UNDER_SCENARIO,-0.02933554563784682,0.058557968731410004,NOT_IDENTIFIABLE_BOTH_RIGHT_CENSORED,
high_c_rate,3,"T25_C0p5_D100_0,T35_C0p5_D80_1,T35_C0p5_D80_3,T35_C1_D80_0|T25_C0p5_D100_1,T25_C2_D80_0,T35_C1_D80_2,T45_C2_D50_2|T25_C0p5_D100_3,T25_C1_D100_2,T25_C1_D100_3,T45_C0p5_D80_3|T25_C1_D100_0,T25_C2_D100_1,T35_C2_D80_3,T45_C0p5_D80_0|T25_C2_D100_3,T35_C2_D80_1,T35_C2_D80_2,T45_C0p5_D80_1|T25_C2_D80_2,T45_C1_D50_0,T45_C1_D50_3,baseline_0|T25_C2_D80_3,T35_C0p5_D80_0,T35_C1_D80_3,T45_C2_D50_0|T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2,T45_C1_D80_2",0.007515934221832021,0.017612621093756164,,RIGHT_CENSORED_NOT_IDENTIFIABLE,4,0.017653461798603498,0.8034064440915895,250.0,0,observed event duration or 250-cycle right-censor lower bound,STABLE_UNDER_SCENARIO,-0.03491644588645723,0.061196747060461854,NOT_IDENTIFIABLE_BOTH_RIGHT_CENSORED,
high_c_rate,4,"T25_C0p5_D100_0,T35_C0p5_D80_1,T35_C0p5_D80_3,T35_C1_D80_0|T25_C0p5_D100_1,T25_C2_D80_0,T35_C1_D80_2,T45_C2_D50_2|T25_C0p5_D100_3,T25_C1_D100_2,T25_C1_D100_3,T45_C0p5_D80_3|T25_C1_D100_0,T25_C2_D100_1,T35_C2_D80_3,T45_C0p5_D80_0|T25_C2_D100_3,T35_C2_D80_1,T35_C2_D80_2,T45_C0p5_D80_1|T25_C2_D80_2,T45_C1_D50_0,T45_C1_D50_3,baseline_0|T25_C2_D80_3,T35_C0p5_D80_0,T35_C1_D80_3,T45_C2_D50_0|T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2,T45_C1_D80_2",0.007682775433805417,0.01133740668011185,,RIGHT_CENSORED_NOT_IDENTIFIABLE,2,0.01693856027540841,0.794335363440508,211.0,2,observed event duration or 250-cycle right-censor lower bound,REJECT_FORCED_ASSIGNMENT,-0.034214329393582515,0.058489478919212745,CENSORING_MIXED_NOT_IDENTIFIABLE,
high_c_rate,5,"T25_C0p5_D100_0,T35_C0p5_D80_1,T35_C0p5_D80_3,T35_C1_D80_0|T25_C0p5_D100_1,T25_C2_D80_0,T35_C1_D80_2,T45_C2_D50_2|T25_C0p5_D100_3,T25_C1_D100_2,T25_C1_D100_3,T45_C0p5_D80_3|T25_C1_D100_0,T25_C2_D100_1,T35_C2_D80_3,T45_C0p5_D80_0|T25_C2_D100_3,T35_C2_D80_1,T35_C2_D80_2,T45_C0p5_D80_1|T25_C2_D80_2,T45_C1_D50_0,T45_C1_D50_3,baseline_0|T25_C2_D80_3,T35_C0p5_D80_0,T35_C1_D80_3,T45_C2_D50_0|T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2,T45_C1_D80_2",0.01703696735989129,0.011875547293355937,,RIGHT_CENSORED_NOT_IDENTIFIABLE,4,0.014884078596642869,0.8073149070389759,250.0,0,observed event duration or 250-cycle right-censor lower bound,STABLE_UNDER_SCENARIO,-0.030609850479694556,0.05638066836804778,NOT_IDENTIFIABLE_BOTH_RIGHT_CENSORED,
high_c_rate,6,"T25_C0p5_D100_0,T35_C0p5_D80_1,T35_C0p5_D80_3,T35_C1_D80_0|T25_C0p5_D100_1,T25_C2_D80_0,T35_C1_D80_2,T45_C2_D50_2|T25_C0p5_D100_3,T25_C1_D100_2,T25_C1_D100_3,T45_C0p5_D80_3|T25_C1_D100_0,T25_C2_D100_1,T35_C2_D80_3,T45_C0p5_D80_0|T25_C2_D100_3,T35_C2_D80_1,T35_C2_D80_2,T45_C0p5_D80_1|T25_C2_D80_2,T45_C1_D50_0,T45_C1_D50_3,baseline_0|T25_C2_D80_3,T35_C0p5_D80_0,T35_C1_D80_3,T45_C2_D50_0|T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2,T45_C1_D80_2",0.06399736591237218,0.012697643552906257,,RIGHT_CENSORED_NOT_IDENTIFIABLE,4,0.011265351973574589,0.8403592568175728,250.0,0,observed event duration or 250-cycle right-censor lower bound,REINSPECT,-0.02790812368892734,0.05118663849312238,NOT_IDENTIFIABLE_BOTH_RIGHT_CENSORED,
high_c_rate,7,"T25_C0p5_D100_0,T35_C0p5_D80_1,T35_C0p5_D80_3,T35_C1_D80_0|T25_C0p5_D100_1,T25_C2_D80_0,T35_C1_D80_2,T45_C2_D50_2|T25_C0p5_D100_3,T25_C1_D100_2,T25_C1_D100_3,T45_C0p5_D80_3|T25_C1_D100_0,T25_C2_D100_1,T35_C2_D80_3,T45_C0p5_D80_0|T25_C2_D100_3,T35_C2_D80_1,T35_C2_D80_2,T45_C0p5_D80_1|T25_C2_D80_2,T45_C1_D50_0,T45_C1_D50_3,baseline_0|T25_C2_D80_3,T35_C0p5_D80_0,T35_C1_D80_3,T45_C2_D50_0|T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2,T45_C1_D80_2",0.019578665651023605,0.005044642948045297,,RIGHT_CENSORED_NOT_IDENTIFIABLE,4,0.011890304929937923,0.8370431553165145,250.0,0,observed event duration or 250-cycle right-censor lower bound,STABLE_UNDER_SCENARIO,-0.02784603550566242,0.051357346985958285,NOT_IDENTIFIABLE_BOTH_RIGHT_CENSORED,
high_c_rate,8,"T25_C0p5_D100_0,T35_C0p5_D80_1,T35_C0p5_D80_3,T35_C1_D80_0|T25_C0p5_D100_1,T25_C2_D80_0,T35_C1_D80_2,T45_C2_D50_2|T25_C0p5_D100_3,T25_C1_D100_2,T25_C1_D100_3,T45_C0p5_D80_3|T25_C1_D100_0,T25_C2_D100_1,T35_C2_D80_3,T45_C0p5_D80_0|T25_C2_D100_3,T35_C2_D80_1,T35_C2_D80_2,T45_C0p5_D80_1|T25_C2_D80_2,T45_C1_D50_0,T45_C1_D50_3,baseline_0|T25_C2_D80_3,T35_C0p5_D80_0,T35_C1_D80_3,T45_C2_D50_0|T35_C0p5_D100_1,T35_C0p5_D100_3,T45_C0p5_D80_2,T45_C1_D80_2",0.018518929012432926,0.015078833111204615,,RIGHT_CENSORED_NOT_IDENTIFIABLE,2,0.013487975343509762,0.793194838454236,206.0,2,observed event duration or 250-cycle right-censor lower bound,REJECT_FORCED_ASSIGNMENT,-0.03206225929691736,0.05906849762129335,CENSORING_MIXED_NOT_IDENTIFIABLE,
