history_window,feature_group,feature_names,model,n_rows,n_cells,mae,rmse,r2,mae_ci_low,mae_ci_high,rmse_ci_low,rmse_ci_high,r2_ci_low,r2_ci_high
25,capacity,soh_observed;capacity_obs;capacity_slope;cycle;efc,local_linear,1944,108,0.012589159438524195,0.015275403823481457,0.9152781798507732,0.012114406444435968,0.012939008213363171,0.014747270059466926,0.015634253919084778,0.9061979900619268,0.9229711459156841
25,capacity,soh_observed;capacity_obs;capacity_slope;cycle;efc,persistence,1944,108,0.018056177513281254,0.019355497092331524,0.8639750621679044,0.017206946450582912,0.01890716655309017,0.018510649376860845,0.020256037576266532,0.8517874078045385,0.8770218323715656
25,capacity,soh_observed;capacity_obs;capacity_slope;cycle;efc,random_forest,1944,108,0.004028772120882222,0.005104396955683311,0.9905398339563349,0.0038626015804404243,0.004250787700571733,0.004909162540926756,0.005404045733317417,0.9891332944829755,0.9915173718018576
25,capacity,soh_observed;capacity_obs;capacity_slope;cycle;efc,ridge,1944,108,0.004044267267780564,0.00521161200674625,0.990138249083889,0.0038345131254184125,0.004209825237489847,0.0049349158362909295,0.005430120648254725,0.988781564979929,0.9914809854956684
25,capacity_resistance,soh_observed;capacity_obs;capacity_slope;resistance_growth;resistance_slope;cycle;efc,local_linear,1944,108,0.012589159438524195,0.015275403823481457,0.9152781798507732,0.012179058691051991,0.013046652234337442,0.014799448860164915,0.015792814559219367,0.9043866930045764,0.9208907403834189
25,capacity_resistance,soh_observed;capacity_obs;capacity_slope;resistance_growth;resistance_slope;cycle;efc,persistence,1944,108,0.018056177513281254,0.019355497092331524,0.8639750621679044,0.017225644671081945,0.01914986527956112,0.018544660384966577,0.020364622297518956,0.8480921991141046,0.878112459767096
25,capacity_resistance,soh_observed;capacity_obs;capacity_slope;resistance_growth;resistance_slope;cycle;efc,random_forest,1944,108,0.003783539645981778,0.0048039604756763,0.9916206809204274,0.0035727920800953552,0.00396285068782498,0.004509453819737924,0.005077240461170179,0.9903440788583273,0.992637759594356
25,capacity_resistance,soh_observed;capacity_obs;capacity_slope;resistance_growth;resistance_slope;cycle;efc,ridge,1944,108,0.003850977078446834,0.00496184328212442,0.9910608553803393,0.0036829658156521798,0.004026755106718997,0.004702011670545517,0.00521690082489979,0.9898167094973443,0.9919514835007389
25,capacity_operating,soh_observed;capacity_obs;capacity_slope;cycle;efc;temperature;c_rate;dod,local_linear,1944,108,0.012589159438524195,0.015275403823481457,0.9152781798507732,0.01206029039101082,0.012932445036223731,0.014700912834267492,0.015607824611500898,0.9048340821847641,0.9231579197109242
25,capacity_operating,soh_observed;capacity_obs;capacity_slope;cycle;efc;temperature;c_rate;dod,persistence,1944,108,0.018056177513281254,0.019355497092331524,0.8639750621679044,0.017299740795248323,0.018851345166375655,0.018565837714374093,0.020099005174178026,0.8509588763187921,0.8749886082458077
25,capacity_operating,soh_observed;capacity_obs;capacity_slope;cycle;efc;temperature;c_rate;dod,random_forest,1944,108,0.0036934513752038306,0.004677705217715222,0.9920553352295801,0.003516962245328939,0.003959018635393459,0.004433134369318118,0.004986601689823072,0.9908847640194123,0.992957398811964
25,capacity_operating,soh_observed;capacity_obs;capacity_slope;cycle;efc;temperature;c_rate;dod,ridge,1944,108,0.0035065497246004216,0.004383618904001629,0.993022891777005,0.0033358220951657056,0.0036569204234032154,0.004187555493068496,0.004576967452121537,0.9917886682481009,0.9937699150390661
25,all,soh_observed;capacity_obs;resistance_growth;capacity_slope;resistance_slope;cycle;efc;temperature;c_rate;dod,local_linear,1944,108,0.012589159438524195,0.015275403823481457,0.9152781798507732,0.012070124167737591,0.013125437704228258,0.01470464464283089,0.01588223465682335,0.9011453539267094,0.9230779656961582
25,all,soh_observed;capacity_obs;resistance_growth;capacity_slope;resistance_slope;cycle;efc;temperature;c_rate;dod,persistence,1944,108,0.018056177513281254,0.019355497092331524,0.8639750621679044,0.017221150148997232,0.019016275898986187,0.018421870474608734,0.02038632676262473,0.8492866037629421,0.8774271791590391
25,all,soh_observed;capacity_obs;resistance_growth;capacity_slope;resistance_slope;cycle;efc;temperature;c_rate;dod,random_forest,1944,108,0.003572691904244136,0.004533474094781122,0.9925377094600065,0.00341543841080415,0.0038170182853923262,0.004290425153122634,0.004854891412692717,0.9914406618573407,0.993411551103491
25,all,soh_observed;capacity_obs;resistance_growth;capacity_slope;resistance_slope;cycle;efc;temperature;c_rate;dod,ridge,1944,108,0.003479908605610816,0.004328126213974401,0.9931984215599307,0.0032399925727841965,0.003689726486015928,0.004022873285381472,0.004563786608778872,0.9920180085130318,0.9939793600410625
50,capacity,soh_observed;capacity_obs;capacity_slope;cycle;efc,local_linear,1944,108,0.010606414439382416,0.012165698299078353,0.9462616953216799,0.010069429685031134,0.011104108314700614,0.011587812944310058,0.012632753985420908,0.9391263321032162,0.9509740368055002
50,capacity,soh_observed;capacity_obs;capacity_slope;cycle;efc,persistence,1944,108,0.018056177513281254,0.019355497092331524,0.8639750621679044,0.017301676919661106,0.018879667062414878,0.01856438862317326,0.0202004980495023,0.8507975594373796,0.875047907534172
50,capacity,soh_observed;capacity_obs;capacity_slope;cycle;efc,random_forest,1944,108,0.004161037248221919,0.005262529240246,0.9899446099629685,0.003913416680290581,0.004338284779090513,0.0049751218203436505,0.0054950414431304455,0.9884712055361171,0.9911435846520238
50,capacity,soh_observed;capacity_obs;capacity_slope;cycle;efc,ridge,1944,108,0.004088127284291773,0.005241882896331871,0.990023355289327,0.0038808755216927834,0.004234047275782132,0.004994352247980895,0.005427950579697936,0.9882961690533303,0.9912916803424411
50,capacity_resistance,soh_observed;capacity_obs;capacity_slope;resistance_growth;resistance_slope;cycle;efc,local_linear,1944,108,0.010606414439382416,0.012165698299078353,0.9462616953216799,0.010168116745892844,0.011066350113372732,0.011698754930766003,0.01262209087779852,0.9396156583200312,0.9514002937642885
